image,lname,rname,correct
CFD-WM-209-038-N.jpg,JACOB,DARREN,left
CFD-WM-231-112-N.jpg,JACOB,STEVEN,right
CFD-WF-034-006-N.jpg,KYLIE,DEBRA,right
CFD-WM-200-034-N.jpg,STEVEN,DYLAN,right
CFD-WF-242-001-N.jpg,CAROLYN,KIMBERLEY,right
CFD-WM-211-054-N.jpg,DYLAN,GARY,right
CFD-WF-036-023-N.jpg,NICOLE,SUZANNE,right
CFD-WF-223-133-N.jpg,SUZANNE,JUDITH,right
CFD-WM-204-031-N.jpg,GARY,DARREN,right
CFD-WM-010-001-N.jpg,BRADLEY,DAVID,left
CFD-WM-218-074-N.jpg,DAVID,WAYNE,left
CFD-WF-026-002-N.jpg,JUDITH,KYLIE,right
CFD-WF-209-052-N.jpg,DEBRA,LORRAINE,right
CFD-WF-252-159-N.jpg,NICOLE,LORRAINE,left
CFD-WF-251-014-N.jpg,CAROLYN,KIMBERLEY,left
