image,lname,rname,correct
CFD-WM-034-030-N.jpg,BRETT,BRENTON,right
CFD-WM-016-001-N.jpg,GREGORY,LACHLAN,right
CFD-WM-035-032-N.jpg,BLAKE,BRETT,right
CFD-WF-206-147-N.jpg,MEGAN,DANIELLE,left
CFD-WF-030-002-N.jpg,BELINDA,JESSICA,right
CFD-WF-246-087-N.jpg,BELINDA,SOPHIE,left
CFD-WM-021-001-N.jpg,RYAN,JORDAN,right
CFD-WM-032-001-N.jpg,JORDAN,WILLIAM,right
CFD-WM-255-219-N.jpg,GREGORY,BRENTON,left
CFD-WF-037-029-N.jpg,ANGELA,DANIELLE,right
CFD-WF-247-065-N.jpg,JESSICA,SOPHIE,right
CFD-WM-242-011-N.jpg,RYAN,WILLIAM,left
CFD-WM-256-138-N.jpg,LACHLAN,BLAKE,right
CFD-WF-232-161-N.jpg,LAUREN,EMMA,right
CFD-WF-215-145-N.jpg,LAUREN,MEGAN,left
CFD-WF-214-122-N.jpg,EMMA,ANGELA,right
