image,lname,rname,correct
CFD-WF-252-159-N.jpg,SUZANNE,NICOLE,right
CFD-WF-209-052-N.jpg,LORRAINE,DEBRA,left
CFD-WM-010-001-N.jpg,BRADLEY,DARREN,left
CFD-WM-204-031-N.jpg,DARREN,JACOB,left
CFD-WF-251-014-N.jpg,CAROLYN,KYLIE,left
CFD-WM-039-018-N.jpg,WAYNE,GARY,left
CFD-WF-242-001-N.jpg,CAROLYN,KIMBERLEY,right
CFD-WF-026-002-N.jpg,NICOLE,KYLIE,right
CFD-WM-209-038-N.jpg,JACOB,DYLAN,left
CFD-WF-036-023-N.jpg,KIMBERLEY,SUZANNE,right
CFD-WF-034-006-N.jpg,DEBRA,JUDITH,left
CFD-WM-218-074-N.jpg,DAVID,BRADLEY,left
CFD-WM-200-034-N.jpg,STEVEN,DYLAN,right
CFD-WM-211-054-N.jpg,GARY,DAVID,left
CFD-WM-231-112-N.jpg,WAYNE,STEVEN,right
