image,lname,rname,correct
CFD-WF-215-145-N.jpg,LAUREN,EMMA,left
CFD-WF-232-161-N.jpg,EMMA,SOPHIE,left
CFD-WF-214-122-N.jpg,ANGELA,LAUREN,left
CFD-WF-206-147-N.jpg,MEGAN,JESSICA,left
CFD-WF-030-002-N.jpg,MEGAN,JESSICA,right
CFD-WF-246-087-N.jpg,DANIELLE,BELINDA,right
CFD-WM-016-001-N.jpg,BRENTON,LACHLAN,right
CFD-WM-242-011-N.jpg,BRETT,RYAN,right
CFD-WF-247-065-N.jpg,SOPHIE,BELINDA,left
CFD-WF-037-029-N.jpg,DANIELLE,ANGELA,left
CFD-WM-035-032-N.jpg,BRETT,WILLIAM,left
CFD-WM-255-219-N.jpg,GREGORY,RYAN,left
CFD-WM-032-001-N.jpg,WILLIAM,BLAKE,left
CFD-WM-034-030-N.jpg,BRENTON,LACHLAN,left
CFD-WM-256-138-N.jpg,BLAKE,JORDAN,left
