image,lname,rname,correct
CFD-WF-037-029-N.jpg,DANIELLE,JESSICA,left
CFD-WM-016-001-N.jpg,BRETT,LACHLAN,right
CFD-WM-032-001-N.jpg,WILLIAM,RYAN,left
CFD-WF-030-002-N.jpg,EMMA,JESSICA,right
CFD-WF-232-161-N.jpg,MEGAN,EMMA,right
CFD-WF-215-145-N.jpg,LAUREN,BELINDA,left
CFD-WM-034-030-N.jpg,BRENTON,BLAKE,left
CFD-WM-035-032-N.jpg,BRETT,WILLIAM,left
CFD-WM-255-219-N.jpg,GREGORY,LACHLAN,left
CFD-WF-206-147-N.jpg,MEGAN,ANGELA,left
CFD-WF-246-087-N.jpg,SOPHIE,BELINDA,right
CFD-WF-214-122-N.jpg,DANIELLE,ANGELA,right
CFD-WM-256-138-N.jpg,BRENTON,BLAKE,right
CFD-WM-242-011-N.jpg,RYAN,JORDAN,left
CFD-WF-247-065-N.jpg,LAUREN,SOPHIE,right
