image,lname,rname,correct
CFD-WF-209-052-N.jpg,LORRAINE,KYLIE,left
CFD-WF-034-006-N.jpg,DEBRA,NICOLE,left
CFD-WF-036-023-N.jpg,SUZANNE,LORRAINE,left
CFD-WM-218-074-N.jpg,DYLAN,DAVID,right
CFD-WF-026-002-N.jpg,KYLIE,CAROLYN,left
CFD-WM-204-031-N.jpg,DARREN,DAVID,left
CFD-WM-010-001-N.jpg,GARY,BRADLEY,right
CFD-WM-211-054-N.jpg,GARY,BRADLEY,left
CFD-WM-039-018-N.jpg,WAYNE,STEVEN,left
CFD-WM-231-112-N.jpg,STEVEN,WAYNE,left
CFD-WM-200-034-N.jpg,DYLAN,JACOB,left
CFD-WF-252-159-N.jpg,NICOLE,JUDITH,left
CFD-WF-223-133-N.jpg,SUZANNE,JUDITH,right
CFD-WF-251-014-N.jpg,CAROLYN,KIMBERLEY,left
