image,lname,rname,correct
CFD-WF-036-023-N.jpg,LORRAINE,SUZANNE,right
CFD-WF-242-001-N.jpg,CAROLYN,KIMBERLEY,right
CFD-WM-209-038-N.jpg,JACOB,DARREN,left
CFD-WM-204-031-N.jpg,DARREN,STEVEN,left
CFD-WF-252-159-N.jpg,NICOLE,KYLIE,left
CFD-WM-039-018-N.jpg,BRADLEY,WAYNE,right
CFD-WF-026-002-N.jpg,KIMBERLEY,KYLIE,right
CFD-WF-209-052-N.jpg,DEBRA,LORRAINE,right
CFD-WF-251-014-N.jpg,NICOLE,CAROLYN,right
CFD-WM-231-112-N.jpg,STEVEN,DYLAN,left
CFD-WF-034-006-N.jpg,JUDITH,DEBRA,right
CFD-WM-010-001-N.jpg,WAYNE,BRADLEY,right
CFD-WM-218-074-N.jpg,DAVID,JACOB,left
CFD-WM-200-034-N.jpg,DYLAN,GARY,left
