image,lname,rname,correct
CFD-WF-247-065-N.jpg,SOPHIE,MEGAN,left
CFD-WM-032-001-N.jpg,BLAKE,WILLIAM,right
CFD-WF-206-147-N.jpg,LAUREN,MEGAN,right
CFD-WF-246-087-N.jpg,BELINDA,DANIELLE,left
CFD-WM-035-032-N.jpg,RYAN,BRETT,right
CFD-WM-021-001-N.jpg,GREGORY,JORDAN,right
CFD-WF-214-122-N.jpg,ANGELA,JESSICA,left
CFD-WM-034-030-N.jpg,WILLIAM,BRENTON,right
CFD-WF-037-029-N.jpg,EMMA,DANIELLE,right
CFD-WF-030-002-N.jpg,JESSICA,ANGELA,left
CFD-WM-242-011-N.jpg,BRENTON,RYAN,right
CFD-WM-255-219-N.jpg,JORDAN,GREGORY,right
CFD-WM-256-138-N.jpg,LACHLAN,BLAKE,right
CFD-WF-232-161-N.jpg,EMMA,BELINDA,left
CFD-WF-215-145-N.jpg,SOPHIE,LAUREN,right
