image,lname,rname,correct
CFD-WF-209-052-N.jpg,KYLIE,LORRAINE,right
CFD-WF-026-002-N.jpg,LORRAINE,KYLIE,right
CFD-WM-010-001-N.jpg,BRADLEY,JACOB,left
CFD-WM-231-112-N.jpg,DAVID,STEVEN,right
CFD-WM-209-038-N.jpg,JACOB,GARY,left
CFD-WF-242-001-N.jpg,KIMBERLEY,SUZANNE,left
CFD-WM-200-034-N.jpg,BRADLEY,DYLAN,right
CFD-WF-252-159-N.jpg,NICOLE,KIMBERLEY,left
CFD-WF-034-006-N.jpg,DEBRA,NICOLE,left
CFD-WF-251-014-N.jpg,JUDITH,CAROLYN,right
CFD-WF-223-133-N.jpg,JUDITH,DEBRA,left
CFD-WF-036-023-N.jpg,SUZANNE,CAROLYN,left
CFD-WM-211-054-N.jpg,STEVEN,GARY,right
CFD-WM-204-031-N.jpg,DYLAN,DARREN,right
CFD-WM-218-074-N.jpg,DAVID,WAYNE,left
