image,lname,rname,correct
CFD-WF-012-002-N.jpg,KIRSTY,REBECCA,right
CFD-WF-217-085-N.jpg,MATILDA,TAYLOR,left
CFD-WF-028-023-N.jpg,JANET,SOPHIA,right
CFD-WF-238-023-N.jpg,MATILDA,JILLIAN,right
CFD-WM-010-001-N.jpg,SCOTT,MITCHELL,right
CFD-WF-030-002-N.jpg,LILY,SOPHIA,left
CFD-WM-209-038-N.jpg,RONALD,DENNIS,left
CFD-WM-258-125-N.jpg,LACHLAN,ADAM,right
CFD-WF-007-001-N.jpg,LILY,JANET,right
CFD-WM-019-003-N.jpg,RAYMOND,RONALD,left
CFD-WF-020-002-N.jpg,KIRSTY,MICHELLE,left
CFD-WM-024-015-N.jpg,GEOFFREY,MAX,right
CFD-WM-224-197-N.jpg,SCOTT,MAX,left
CFD-WM-251-002-N.jpg,ADAM,LACHLAN,right
CFD-WM-225-127-N.jpg,MITCHELL,CONNOR,right
CFD-WF-242-001-N.jpg,SAMANTHA,TAYLOR,right
CFD-WM-227-099-N.jpg,RAYMOND,DENNIS,right
