image,lname,rname,correct
CFD-WM-208-068-N.jpg,NICHOLAS,HENRY,left
CFD-WM-037-025-N.jpg,HENRY,TREVOR,left
CFD-WF-006-002-N.jpg,MIA,LINDA,left
CFD-WM-023-001-N.jpg,STEPHEN,RICHARD,right
CFD-WM-241-072-N.jpg,BENJAMIN,RILEY,left
CFD-WF-210-086-N.jpg,ASHLEIGH,MICHELLE,left
CFD-WF-249-126-N.jpg,DONNA,LILLY,right
CFD-WM-225-127-N.jpg,CONNOR,BENJAMIN,left
CFD-WF-015-006-N.jpg,CAITLIN,BELINDA,left
CFD-WM-012-001-N.jpg,NICHOLAS,TIMOTHY,right
CFD-WF-247-065-N.jpg,CHARLOTTE,LINDA,right
CFD-WM-028-003-N.jpg,RILEY,GEOFFREY,left
CFD-WM-039-018-N.jpg,RICHARD,TREVOR,right
CFD-WM-237-052-N.jpg,TIMOTHY,STEPHEN,right
CFD-WF-033-002-N.jpg,LILLY,BELINDA,right
CFD-WF-012-002-N.jpg,REBECCA,CAITLIN,left
CFD-WF-250-167-N.jpg,MIA,DONNA,right
CFD-WF-017-003-N.jpg,CHARLOTTE,ASHLEIGH,left
