image,lname,rname,correct
CFD-WM-255-219-N.jpg,ETHAN,DANIEL,right
CFD-WM-256-138-N.jpg,JASON,NATHAN,right
CFD-WF-021-002-N.jpg,AVA,MELANIE,left
CFD-WF-218-087-N.jpg,KYLIE,JULIE,right
CFD-WF-025-019-N.jpg,JULIE,MADDISON,right
CFD-WM-239-128-N.jpg,SIMON,GEOFFREY,left
CFD-WM-232-070-N.jpg,SIMON,MATTHEW,right
CFD-WF-031-027-N.jpg,CHERYL,LYNETTE,left
CFD-WM-016-001-N.jpg,ETHAN,JOSHUA,left
CFD-WF-027-003-N.jpg,KYLIE,CHERYL,left
CFD-WF-202-056-N.jpg,AVA,LYNETTE,right
CFD-WF-034-006-N.jpg,MELANIE,SHARON,left
CFD-WF-012-002-N.jpg,REBECCA,MICHELLE,left
CFD-WF-227-002-N.jpg,SHARON,MADDISON,left
CFD-WM-225-127-N.jpg,NATHAN,CONNOR,right
CFD-WM-207-048-N.jpg,KEVIN,MATTHEW,left
CFD-WM-238-020-N.jpg,KEVIN,JASON,right
CFD-WM-221-091-N.jpg,DANIEL,JOSHUA,right
