image,lname,rname,correct
CFD-WM-003-002-N.jpg,ALEXANDER,STEVEN,left
CFD-WM-025-002-N.jpg,COOPER,GARY,left
CFD-WF-205-006-N.jpg,SOPHIE,SANDRA,left
CFD-WF-036-023-N.jpg,TRACY,SIENNA,left
CFD-WF-002-004-N.jpg,JADE,MARGARET,right
CFD-WM-200-034-N.jpg,DYLAN,ROGER,left
CFD-WM-253-119-N.jpg,DYLAN,MALCOLM,right
CFD-WM-038-003-N.jpg,ROBERT,CRAIG,left
CFD-WF-234-086-N.jpg,TRACY,DEBRA,right
CFD-WF-224-099-N.jpg,JANE,KERRY,right
CFD-WM-254-152-N.jpg,COOPER,CRAIG,right
CFD-WM-213-076-N.jpg,HARRY,ROBERT,left
CFD-WF-213-031-N.jpg,SANDRA,COURTNEY,left
CFD-WM-036-031-N.jpg,MALCOLM,GARY,right
CFD-WM-228-065-N.jpg,ROGER,ALEXANDER,left
CFD-WF-252-159-N.jpg,JADE,SOPHIE,left
CFD-WF-214-122-N.jpg,JANE,KERRY,left
CFD-WF-037-029-N.jpg,SIENNA,DEBRA,left
