image,lname,rname,correct
CFD-WF-039-025-N.jpg,RUBY,CAROLYN,left
CFD-WM-252-224-N.jpg,OLIVER,KYM,right
CFD-WM-041-021-N.jpg,PHILIP,KYM,left
CFD-WF-001-003-N.jpg,CATHERINE,JESSICA,right
CFD-WF-013-003-N.jpg,VICKI,BEVERLEY,left
CFD-WM-229-129-N.jpg,DARREN,BRADLEY,right
CFD-WF-012-002-N.jpg,REBECCA,HAYLEY,left
CFD-WF-023-003-N.jpg,VICKI,CATHERINE,right
CFD-WF-204-038-N.jpg,SHIRLEY,JESSICA,left
CFD-WF-239-155-N.jpg,MICHELLE,CAROLYN,right
CFD-WM-202-107-N.jpg,RYAN,KENNETH,left
CFD-WF-207-014-N.jpg,RUBY,HAYLEY,right
CFD-WF-228-196-N.jpg,SHIRLEY,BEVERLEY,right
CFD-WM-225-127-N.jpg,BLAKE,CONNOR,right
CFD-WM-033-025-N.jpg,PHILIP,KENNETH,right
CFD-WM-026-001-N.jpg,BLAKE,RYAN,left
CFD-WM-212-097-N.jpg,GEOFFREY,DARREN,right
CFD-WM-222-057-N.jpg,OLIVER,BRADLEY,left
