image,lname,rname,correct
CFD-WM-032-001-N.jpg,JAMES,SAMUEL,right
CFD-WM-213-076-N.jpg,HARRY,STEVEN,left
CFD-WF-018-017-N.jpg,LUCY,ANNE,right
CFD-WM-201-063-N.jpg,SAMUEL,JACK,right
CFD-WM-215-041-N.jpg,ANTHONY,BRIAN,left
CFD-WM-002-009-N.jpg,RODNEY,TYSON,right
CFD-WF-010-004-N.jpg,ROSEMARY,AMELIA,right
CFD-WF-235-121-N.jpg,JODIE,COURTNEY,left
CFD-WF-008-002-N.jpg,SUZANNE,HELEN,right
CFD-WF-203-229-N.jpg,KATHRYN,JODIE,left
CFD-WM-218-074-N.jpg,MASON,TYSON,left
CFD-WM-244-003-N.jpg,BRIAN,ANTHONY,left
CFD-WM-217-070-N.jpg,MASON,RODNEY,right
CFD-WF-232-161-N.jpg,HELEN,ROSEMARY,right
CFD-WM-235-147-N.jpg,JAMES,JACK,left
CFD-WF-002-004-N.jpg,AMELIA,MARGARET,right
CFD-WF-209-052-N.jpg,ANNE,LUCY,right
CFD-WF-216-079-N.jpg,SUZANNE,KATHRYN,left
