image,lname,rname,correct
CFD-WF-236-107-N.jpg,PAMELA,MARY,right
CFD-WF-009-001-N.jpg,ALEXANDRA,DEBORAH,right
CFD-WM-219-008-N.jpg,CHRISTOPHER,STEVEN,left
CFD-WM-233-106-N.jpg,COLIN,NOAH,left
CFD-WM-223-056-N.jpg,IAN,CHRISTOPHER,left
CFD-WM-213-076-N.jpg,HARRY,OSCAR,left
CFD-WM-247-084-N.jpg,TYLER,COLIN,left
CFD-WF-019-005-N.jpg,MADISON,ELLA,right
CFD-WF-206-147-N.jpg,NICOLE,ELLA,left
CFD-WM-245-123-N.jpg,THOMAS,NOAH,right
CFD-WM-020-001-N.jpg,IAN,THOMAS,right
CFD-WM-243-107-N.jpg,OSCAR,CHARLIE,left
CFD-WF-002-004-N.jpg,MARGARET,COURTNEY,left
CFD-WF-245-084-N.jpg,ALEXANDRA,NICOLE,left
CFD-WF-226-095-N.jpg,GEORGIA,PAMELA,right
CFD-WF-011-002-N.jpg,MADISON,DEBORAH,left
CFD-WF-220-101-N.jpg,GEORGIA,MARY,left
