image,lname,rname,correct
CFD-WF-022-017-N.jpg,ALISON,LORRAINE,left
CFD-WF-208-068-N.jpg,ANGELA,MICHELLE,right
CFD-WF-241-210-N.jpg,DANIELLE,COURTNEY,left
CFD-WM-034-030-N.jpg,JACOB,LUKE,left
CFD-WM-249-239-N.jpg,JOHN,BARRY,right
CFD-WF-002-004-N.jpg,MARGARET,LAURA,left
CFD-WF-005-010-N.jpg,LORRAINE,MICHELLE,left
CFD-WF-024-003-N.jpg,MARILYN,BROOKE,left
CFD-WM-204-031-N.jpg,JOHN,GRAHAM,left
CFD-WM-213-076-N.jpg,HARRY,JORDAN,left
CFD-WM-236-072-N.jpg,GEOFFREY,GRAHAM,right
CFD-WM-240-125-N.jpg,BRENTON,LUKE,right
CFD-WF-229-004-N.jpg,LAURA,DANIELLE,left
CFD-WF-219-038-N.jpg,MARILYN,ANGELA,right
CFD-WF-223-133-N.jpg,ALISON,BROOKE,right
CFD-WM-035-032-N.jpg,STEVEN,GEOFFREY,right
CFD-WM-250-157-N.jpg,BARRY,BRENTON,right
CFD-WM-031-003-N.jpg,JORDAN,JACOB,left
