image,lname,rname,correct
CFD-WM-225-127-N.jpg,WAYNE,CONNOR,right
CFD-WF-003-003-N.jpg,JASMINE,MICHELLE,left
CFD-WM-022-001-N.jpg,SHANE,JAKE,left
CFD-WF-240-083-N.jpg,MELISSA,MARIA,right
CFD-WF-016-015-N.jpg,LAUREN,MARIA,left
CFD-WM-001-014-N.jpg,GEOFFREY,GREGORY,right
CFD-WF-029-002-N.jpg,CHLOE,TAYLA,left
CFD-WM-242-011-N.jpg,PAUL,WAYNE,right
CFD-WF-200-099-N.jpg,CHLOE,ZOE,right
CFD-WF-035-024-N.jpg,LAUREN,TAYLA,right
CFD-WM-011-002-N.jpg,GREGORY,JAKE,right
CFD-WF-233-112-N.jpg,WENDY,JASMINE,left
CFD-WF-012-002-N.jpg,WENDY,REBECCA,right
CFD-WF-212-050-N.jpg,ZOE,MELISSA,right
CFD-WM-257-161-N.jpg,WILLIAM,MARK,right
CFD-WM-015-002-N.jpg,LIAM,PAUL,right
CFD-WM-230-131-N.jpg,SHANE,LIAM,right
CFD-WM-013-001-N.jpg,WILLIAM,MARK,left
