Stimulus,TargetType,BlockType,CorrectResponse
CFD-WM-231-112-N.jpg,nonlure,2-Back,2
CFD-WM-034-030-N.jpg,nonlure,2-Back,2
CFD-WM-034-030-N.jpg,target,2-Back,1
CFD-WF-003-003-N.jpg,nonlure,2-Back,2
CFD-WM-256-138-N.jpg,nonlure,2-Back,2
CFD-WM-009-002-N.jpg,nonlure,2-Back,2
CFD-WM-231-112-N.jpg,lure,2-Back,2
CFD-WM-202-107-N.jpg,nonlure,2-Back,2
CFD-WM-202-107-N.jpg,target,2-Back,1
CFD-WM-256-138-N.jpg,lure,2-Back,2
